国家,中国
指标名称,中国:现货价(平均价):玉米
频率,日
单位,元/吨
指标ID,S5005793
时间区间,2009-01-04:2024-04-15
来源,汇易网
更新时间,'2024-04-15
2012-09-17,2552.73
2012-09-18,2551.14
2012-09-19,2549.09
2012-09-20,2541.82
2012-09-21,2535.45
2012-09-24,2532.95
2012-09-25,2522.05
2012-09-26,2519.32
2012-09-27,2517.73
2012-09-28,2512.95
2012-09-29,2512.95
2012-10-08,2488.18
2012-10-09,2472.05
2012-10-10,2468.18
2012-10-11,2465.91
2012-10-12,2442.73
2012-10-15,2441.36
2012-10-16,2437.73
2012-10-17,2430.91
2012-10-18,2415.45
2012-10-19,2408.18
2012-10-22,2402.73
2012-10-23,2400.0
2012-10-24,2395.0
2012-10-25,2390.91
2012-10-26,2384.09
2012-10-29,2380.91
2012-10-30,2380.45
2012-10-31,2379.09
2012-11-01,2374.55
2012-11-02,2372.27
2012-11-05,2370.91
2012-11-06,2370.68
2012-11-07,2372.05
2012-11-08,2372.95
2012-11-09,2373.18
2012-11-12,2373.64
2012-11-13,2376.36
2012-11-14,2376.36
2012-11-15,2378.18
2012-11-16,2378.86
2012-11-19,2382.05
2012-11-20,2384.09
2012-11-21,2387.73
2012-11-22,2389.09
2012-11-23,2390.91
2012-11-26,2391.82
2012-11-27,2392.73
2012-11-28,2398.64
2012-11-29,2395.45
2012-11-30,2398.18
2012-12-03,2398.64
2012-12-04,2399.09
2012-12-05,2398.18
2012-12-06,2398.64
2012-12-07,2399.55
2012-12-10,2401.36
2012-12-11,2404.09
2012-12-12,2405.0
2012-12-13,2404.32
2012-12-14,2404.32
2012-12-17,2405.23
2012-12-18,2404.32
2012-12-19,2404.32
2012-12-20,2404.32
2012-12-21,2403.64
2012-12-24,2405.91
2012-12-25,2408.41
2012-12-26,2410.23
2012-12-27,2410.68
2012-12-28,2410.68
2012-12-31,2412.27
2013-01-04,2413.18
2013-01-05,2416.82
2013-01-06,2418.64
2013-01-07,2419.55
2013-01-08,2420.45
2013-01-09,2422.27
2013-01-10,2422.73
2013-01-11,2424.09
2013-01-14,2425.23
2013-01-15,2427.95
2013-01-16,2430.0
2013-01-17,2433.64
2013-01-18,2435.23
2013-01-21,2436.82
2013-01-22,2436.59
2013-01-23,2435.68
2013-01-24,2434.77
2013-01-25,2435.68
2013-01-28,2434.09
2013-01-29,2433.64
2013-01-30,2433.64
2013-01-31,2432.27
2013-02-01,2431.14
2013-02-04,2431.14
2013-02-05,2430.68
2013-02-06,2430.68
2013-02-07,2430.68
2013-02-16,2430.68
2013-02-17,2432.27
2013-02-18,2432.27
2013-02-19,2435.0
2013-02-20,2435.0
2013-02-21,2430.91
2013-02-25,2433.41
2013-02-26,2429.38
2013-02-27,2424.78
2013-02-28,2423.48
2013-03-01,2422.83
2013-03-04,2416.3
2013-03-05,2416.04
2013-03-06,2417.29
2013-03-07,2416.88
2013-03-08,2414.58
2013-03-11,2417.08
2013-03-12,2419.17
2013-03-13,2419.58
2013-03-14,2420.62
2013-03-15,2420.0
2013-03-18,2418.33
2013-03-19,2415.42
2013-03-20,2415.42
2013-03-21,2415.42
2013-03-22,2416.04
2013-03-25,2412.5
2013-03-26,2412.08
2013-03-27,2410.0
2013-03-28,2410.0
2013-03-29,2407.92
2013-04-01,2406.25
2013-04-02,2405.0
2013-04-03,2402.92
2013-04-07,2401.67
2013-04-08,2400.83
2013-04-09,2397.5
2013-04-10,2394.58
2013-04-11,2392.08
2013-04-12,2393.33
2013-04-15,2388.75
2013-04-16,2381.25
2013-04-17,2378.75
2013-04-18,2378.33
2013-04-19,2375.83
2013-04-22,2374.58
2013-04-23,2372.08
2013-04-24,2365.83
2013-04-25,2361.25
2013-04-26,2361.25
2013-04-27,2360.0
2013-04-28,2358.33
2013-05-02,2359.58
2013-05-03,2357.92
2013-05-06,2358.33
2013-05-07,2360.0
2013-05-08,2363.33
2013-05-09,2367.92
2013-05-10,2367.08
2013-05-13,2372.08
2013-05-14,2372.92
2013-05-15,2372.92
2013-05-16,2374.58
2013-05-17,2374.58
2013-05-20,2377.08
2013-05-21,2377.08
2013-05-22,2375.83
2013-05-23,2377.5
